Record,Country,Country Secondary Subdivision,Country Subdivision,Subdivision Name,Postal Code,Address,Local Name,Municipality,Municipality Subdivision,entryPoints_0_functions_0,Latitude,Longtitude,poi_brands_1_name,POI Name,URL,Source,Store Name
3610,United States,Fairfield,CT,Connecticut,06820-3605,"440 Post Road, Darien, CT 06820",Darien,Darien,,,41.08494,-73.46232,,Trader Joe's,locations.traderjoes.com/ct/darien/522/,Azure Maps,
4811533,United States,Fairfield,CT,Connecticut,06854-4531,"129 Woodward Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.08651,-73.41432,,Ec Scott Group,www.ecscottgroup.com/,Azure Maps,
4911533,United States,Fairfield,CT,Connecticut,06855-2700,"99 Calf Pasture Beach Road, Norwalk, CT 06855",Norwalk,Norwalk,,,41.08716,-73.39361,,Bulls Head Market,,Azure Maps,
4311533,United States,Fairfield,CT,Connecticut,06854-4433,"160 South Main Street, Norwalk, CT 06854",Norwalk,Norwalk,,,41.08956,-73.41981,,Crespo Spanish-American,,Azure Maps,
4611533,United States,Fairfield,CT,Connecticut,06854-3502,"33 Bouton Street, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09105,-73.42713,,El Mercabito,,Azure Maps,
3411533,United States,Fairfield,CT,Connecticut,06854-3742,"42 Woodward Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09179,-73.41717,,Los Luceros Family Grocery,,Azure Maps,
3311533,United States,Fairfield,CT,Connecticut,06854-3742,"42 Woodward Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09179,-73.41717,,Superior Supermarket Groc & Vegtbls,,Azure Maps,
3711533,United States,Fairfield,CT,Connecticut,06854-3608,"133 South Main Street, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09192,-73.41916,,Alexa Grocery,,Azure Maps,
3811533,United States,Fairfield,CT,Connecticut,06854-2965,"59 Ely Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09313,-73.42393,,Carniceria La Mexicana,,Azure Maps,
3611533,United States,Fairfield,CT,Connecticut,06854-2939,"45 Ely Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09335,-73.42375,,Burden Brothers Grocery,,Azure Maps,
2811533,United States,Fairfield,CT,Connecticut,06854-3110,"112 South Main Street, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09367,-73.41909,,El Samaritano Grocery & Deli,,Azure Maps,
1210,United States,Fairfield,CT,Connecticut,06907-1824,"1085 Hope Street, Stamford, CT 06907",Stamford,Stamford,Springdale,,41.09555,-73.5193,,Hope Street Mini Mart,,Azure Maps,
2110,United States,Fairfield,CT,Connecticut,06854-1616,"680 Connecticut Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09563,-73.44965,,Walmart,www.walmart.com/store/3547/norwalk-ct/details,Azure Maps,
1110,United States,Fairfield,CT,Connecticut,06907-1824,"1091 Hope Street, Stamford, CT 06907",Stamford,Stamford,Springdale,,41.09574,-73.51942,,Pine Hill Grocery Store,,Azure Maps,
2511533,United States,Fairfield,CT,Connecticut,06854-3124,"18 Monroe Street, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09662,-73.42,,La Placita Food Market,,Azure Maps,
2311533,United States,Fairfield,CT,Connecticut,06854-2925,"58 South Main Street, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09747,-73.41891,,South Main Grocery & Deli,,Azure Maps,
2310,United States,Fairfield,CT,Connecticut,06854-1710,"493 Connecticut Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09863,-73.44332,,Connecticut Ave Deli & Grocery,,Azure Maps,
2211533,United States,Fairfield,CT,Connecticut,06854-2704,"7 Washington Street, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09935,-73.42187,,C-Town,locations.ctownsupermarkets.com/ct-south-norwalk-pu41_060,Azure Maps,
2210,United States,Fairfield,CT,Connecticut,06854-1805,"385 Connecticut Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.10037,-73.44081,,Stop & Shop Pharmacy,pharmacy.stopandshop.com/ct/norwalk/385-connecticut-avenue,Azure Maps,
1910,United States,Fairfield,CT,Connecticut,06854-1801,"360 Connecticut Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.10093,-73.44011,,ShopRite Of Norwalk,www.shoprite.com/,Azure Maps,
2411533,United States,Fairfield,CT,Connecticut,06854-2021,"72 Taylor Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.10142,-73.42923,,Family Market,,Azure Maps,
2510,United States,Fairfield,CT,Connecticut,,"Connecticut Ave, Norwalk, CT 06854",Norwalk,Norwalk,,,41.10248,-73.43594,,ShopRite Of Norwalk,www.shoprite.com,Azure Maps,
1711533,United States,Fairfield,CT,Connecticut,06854-2208,"23 West Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.1029,-73.4198,,Norwalk Marketplace,,Azure Maps,
2010,United States,Fairfield,CT,Connecticut,06854-1821,"330 Connecticut Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.10355,-73.43707,,Patel Brothers,www.patelbros.com,Azure Maps,
1911533,United States,Fairfield,CT,Connecticut,06854-2039,"79 Cedar Street, Norwalk, CT 06854",Norwalk,Norwalk,,,41.1042,-73.42732,,Tropical Groceries,,Azure Maps,
2410,United States,Fairfield,CT,Connecticut,06854-1912,"155 West Cedar Street, Norwalk, CT 06854",Norwalk,Norwalk,,,41.1044,-73.43478,,West Cedar Grocery,,Azure Maps,
1211533,United States,Fairfield,CT,Connecticut,06855-1333,"12 Fitch Street, Norwalk, CT 06855",Norwalk,Norwalk,,,41.10543,-73.40298,,Rojas International Corporation,,Azure Maps,
1410,United States,Fairfield,CT,Connecticut,06905-1213,"1041 High Ridge Road, Stamford, CT 06905",Stamford,Stamford,Turn of River-Newfield,,41.10698,-73.54791,,Trader Joe's,locations.traderjoes.com/ct/stamford/529/,Azure Maps,
1511533,United States,Fairfield,CT,Connecticut,06850-3530,"60 Connecticut Avenue, Norwalk, CT 06850",Norwalk,Norwalk,,,41.1073,-73.42268,,Tim's Market,,Azure Maps,
1310,United States,Fairfield,CT,Connecticut,06905-1213,"1055 High Ridge Road, Stamford, CT 06905",Stamford,Stamford,Turn of River-Newfield,,41.10856,-73.54745,,Kinnikinnick Foods,consumer.kinnikinnick.com/,Azure Maps,
1011533,United States,Fairfield,CT,Connecticut,06850-4202,"24 Butler Street, Norwalk, CT 06850",Norwalk,Norwalk,,,41.1103,-73.41406,,Gus Sclafani,www.gussclafanicorp.com,Azure Maps,
1311533,United States,Fairfield,CT,Connecticut,06850-3532,"57 Stevens St, Norwalk, CT 06850",Norwalk,Norwalk,,,41.11039,-73.42497,,Hill Confectionery,,Azure Maps,
1010,United States,Fairfield,CT,Connecticut,06905-1214,"1201 High Ridge Road, Stamford, CT 06905",Stamford,Stamford,Turn of River-Newfield,,41.11043,-73.54683,,ACME Markets,local.acmemarkets.com/ct/stamford/1201-high-ridge-rd.html,Azure Maps,
1111533,United States,Fairfield,CT,Connecticut,06850-4237,"6 Butler Street, Norwalk, CT 06850",Norwalk,Norwalk,,,41.11053,-73.41691,,Market Bull S,,Azure Maps,
4110,United States,Fairfield,CT,Connecticut,06850-4007,"530 West Avenue, Norwalk, CT 06850",Norwalk,Norwalk,,,41.11242,-73.41613,,J & M Variety Grocery,,Azure Maps,
3910,United States,Fairfield,CT,Connecticut,06850-3301,"717 West Avenue, Norwalk, CT 06850",Norwalk,Norwalk,,,41.11611,-73.41488,,City Market Norwalk,,Azure Maps,
3810,United States,Fairfield,CT,Connecticut,06850-3301,"717 West Avenue, Norwalk, CT 06850",Norwalk,Norwalk,,,41.11611,-73.41488,,Key Food,www.keyfood.com/,Azure Maps,
3710,United States,Fairfield,CT,Connecticut,06850-3301,"717 West Avenue, Norwalk, CT 06850",Norwalk,Norwalk,,,41.11611,-73.41488,,Pioneer Supermarket,www.pioneersupermarkets.com/,Azure Maps,
1411533,United States,Fairfield,CT,Connecticut,06850-3213,"47 Grandview Avenue, Norwalk, CT 06850",Norwalk,Norwalk,,,41.11681,-73.42756,,Grandview Finest Grocery,www.cafepress.com/ojoplusimi,Azure Maps,
11533,United States,Fairfield,CT,Connecticut,06851-4721,"36 Main Street, Norwalk, CT 06851",Norwalk,Norwalk,,,41.11943,-73.41276,,Kinnikinnick Foods,consumer.kinnikinnick.com/,Azure Maps,
111533,United States,Fairfield,CT,Connecticut,06851-4703,"61 Main Street, Norwalk, CT 06851",Norwalk,Norwalk,,,41.12026,-73.41299,,Main Street Grocery,,Azure Maps,
211533,United States,Fairfield,CT,Connecticut,06851-4703,"71 Main Street, Norwalk, CT 06851",Norwalk,Norwalk,,,41.12048,-73.41304,,Maximo Deli & Grocery,,Azure Maps,
3110,United States,Fairfield,CT,Connecticut,06851-4703,"75 Main Street, Norwalk, CT 06851",Norwalk,Norwalk,,,41.12114,-73.41322,,Nicholas Roberts Fine Foods,,Azure Maps,
4011533,United States,Fairfield,CT,Connecticut,06880-5916,"580 Riverside Avenue, Westport, CT 06880",Westport,Westport,,,41.12134,-73.37036,,CM Gourmet Market,,Azure Maps,
311533,United States,Fairfield,CT,Connecticut,,"100 Westport Avenue, Norwalk, CT 06851",Norwalk,Norwalk,,,41.12151,-73.40494,,Stew Leonard's,www.StewLeonards.com,Azure Maps,
